action,source,name,slug,administering_body,award_type,student_stages,amount_description,amount_min,amount_max,amount_frequency,is_universal,is_government_scheme,is_charitable_trust,is_means_tested,is_repayable,is_competitive,requires_refugee_or_asylum,requires_estranged,requires_young_parent,requires_young_carer,requires_care_experience,requires_disability,simd_quintile_max,min_age,max_age,priority_score,url,last_verified_date,academic_year,is_active,needs_verification,description
insert,student_benefits_migration,Free NHS Dental Check-ups,free-nhs-dental-check-ups,NHS Scotland,entitlement,"{S1,S2,S3,S4,S5,S6,FE,undergraduate,postgraduate,PGDE}","Free NHS dental examinations; free standard treatment for under-26s registered with an NHS dentist",,,,true,true,false,false,false,false,,,,,,,,,,80,https://www.mygov.scot/dental-charges,2026-04-18,2025-26,true,true,"All NHS dental examinations in Scotland are free under the Scottish Government's free dental examination scheme. Students registered with an NHS dentist and under 26 also receive free standard treatment."
insert,student_benefits_migration,Free Period Products,free-period-products,Scottish Government,entitlement,"{S1,S2,S3,S4,S5,S6,FE,undergraduate,postgraduate,PGDE}","Free period products available in every school, college, and university building in Scotland",,,,true,true,false,false,false,false,,,,,,,,,,80,https://www.mygov.scot/free-period-products,2026-04-18,2025-26,true,true,"Scotland was the first country in the world to make period products free by law. Products are available without cost in toilets and welfare areas across every school, college, and university."
insert,student_benefits_migration,Young Scot National Entitlement Card,young-scot-national-entitlement-card,Young Scot,entitlement,"{S2,S3,S4,S5,S6}","Free card acting as proof of age, bus pass, library card, leisure pass, and key to Young Scot Rewards partner discounts",,,,false,false,true,false,false,false,,,,,,,,,11,26,80,https://young.scot/get-informed/young-scot-nec,2026-04-18,2025-26,true,true,"Free card for 11 to 26 year olds, acting as proof of age, library card, leisure pass, and key to thousands of discounts with Young Scot Rewards partners across Scotland and online. Also embeds the under-22 free bus travel entitlement."
insert,new,Sanctuary Scholarship (Scotland),sanctuary-scholarship-scotland,Scottish universities (individual schemes),fee_waiver,"{undergraduate,postgraduate}","Full tuition fee waiver; individual universities may also offer a maintenance stipend or year-round accommodation.",,,,false,false,false,false,false,true,true,,,,,,,,,,60,https://star-network.org.uk/access-to-university/scholarships/,2026-04-18,2025-26,true,true,"Scholarship programme offered by individual Scottish universities (co-ordinated via the STAR network) for refugees, people seeking asylum, and those with limited leave to remain. Typically covers tuition fees; some universities also provide a maintenance bursary and year-round accommodation."
insert,new,Scottish Refugee Council Student Bursary Programme,scottish-refugee-council-student-bursary-programme,Scottish Refugee Council,bursary,"{FE,undergraduate,postgraduate}","Bursary amount varies by programme year; administered by the Scottish Refugee Council.",,,,false,false,true,false,false,false,true,,,,,,,,,,60,https://www.scottishrefugeecouncil.org.uk/,2026-04-18,2025-26,true,true,"Bursary for people seeking asylum or with refugee status who wish to enter or continue further or higher education in Scotland. Amount and conditions vary by programme year."
insert,new,MCR Pathways Young Carer Bursary,mcr-pathways-young-carer-bursary,MCR Pathways,bursary,"{S3,S4,S5,S6,FE,undergraduate}","Bursary support to reduce financial barriers for young carers in the MCR Pathways mentoring programme.",,,,false,false,true,false,false,false,,,,true,,,,,,60,https://mcrpathways.org/,2026-04-18,2025-26,true,true,"Bursary support from MCR Pathways for young carers participating in their mentoring programme, aimed at reducing financial barriers to staying in school and progressing to further or higher education."
insert,new,Stand Alone Pledge Universities (Scotland),stand-alone-pledge-universities-scotland,Stand Alone (participating Scottish universities),bursary,"{undergraduate,postgraduate}","Varies by institution; typically includes an estranged student bursary, year-round accommodation, and dedicated pastoral support.",,,,false,false,true,false,false,false,,true,,,,,,,,60,https://www.standalone.org.uk/,2026-04-18,2025-26,true,true,"Universities signed up to the Stand Alone Pledge commit to offering estranged students bursary support, year-round accommodation, and dedicated pastoral provision. Exact offer varies by institution; check your target university's student-support pages."
insert,new,Buttle UK Education Support Fund,buttle-uk-education-support-fund,Buttle UK,grant,"{S4,S5,S6,FE,undergraduate}","Grant for essential costs such as study materials, travel, and living expenses.",,,,false,false,true,false,false,false,,true,,,,true,,,14,20,40,https://buttleuk.org/,2026-04-18,2025-26,true,true,"Grant for care-experienced and estranged young people in further or higher education, helping cover essential costs such as study materials, travel, and living expenses."
insert,new,Aberlour Urgent Assistance Fund,aberlour-urgent-assistance-fund,Aberlour,grant,"{S1,S2,S3,S4,S5,S6,FE,undergraduate,postgraduate,PGDE}","Hardship grant covering essential living costs; means-tested.",,,,false,false,true,true,false,false,,,,,,,,,,40,https://www.aberlour.org.uk/urgent-assistance-fund/,2026-04-18,2025-26,true,true,"Hardship grant from Aberlour for families and young people in Scotland facing urgent financial crisis. Awards cover essential living costs such as food, heating, and school essentials; application is means-tested."
insert,new,Young Parent Support Fund (Institutional),young-parent-support-fund-institutional,Scottish colleges and universities,grant,"{FE,undergraduate}","Discretionary institutional support covering childcare, study materials, and living costs.",,,,false,false,false,false,false,false,,,true,,,,,,,60,https://www.saas.gov.uk/guides/lone-parents-grant,2026-04-18,2025-26,true,true,"Discretionary institutional support for young parents in further or higher education, covering childcare, study materials, and living costs. Administered by individual colleges and universities alongside SAAS statutory funding."
